X,Y,Name,description,Ville
2.3452711,48.8906451,GEMÜSE - Berliner Kebap,,
2.374628,48.8534569,Sando Club,,
2.3565492,48.8746461,BMK Paris-Bamako,,
2.350294,48.8644,Petit Bao,,
2.3759981,48.8714478,La Tour de Belleville,,
2.3460395,48.8655464,Miss Banh Mi,,
2.3364629,48.8819802,El Nopal Taqueria,,
2.3700391,48.8663817,Café Chilango,,
2.3529334,48.8287366,MISSO,,
2.362641,48.872194,SAaM,,
2.3680862,48.8242888,Pho Bida Viet Nam,,
2.351932,48.842221,Foyer Vietnam,,
2.3575755,48.8623675,Pessic,,
2.3603226,48.8731454,La Taverne de Zhao,,
2.355047,48.8644114,JIXIAO’S BUNS,,
2.3471194,48.8635399,Les Pâtes Vivantes,,
6.1260145,45.8996291,La piscine kamouraska,,
2.352104,48.8478104,Bonvivant Pizza,,
2.311709,48.870834,Soon,,
12.558616,55.6689392,Hija de Sanchez,,
2.385021,48.850215,Joayo Bastille,,
2.3306421,48.8464963,Joayo Luxembourg,,
2.3664745,48.87188,Cantina,,
2.3698818,48.871095,HOMADE,,
2.3665318,48.8646675,Paperboy Paris,,
-73.9844951,40.7290792,Tatsu Ramen,,
11.2573562,43.7685113,All'antico vinaio - panini,,
12.567208,55.685126,Slurp Ramen Joint,,
12.5539414,55.6878528,Ramen to Bíiru,,
12.5492266,55.6871434,Maobao.,,
2.361378,48.822139,Pho Taï,,
2.3362552,48.8643706,Kodawari Ramen (Tsukiji),,
2.3719045,48.8699347,Terre Rosse pizzeria,,
2.3461488,48.8865049,Buffet Sandwicherie Fine,,
4.3476776,50.8499787,Frites Atelier,,
12.585048,55.683268,Gasoline Grill,,
-0.12323630000003,51.5112062,Din Tai Fung,,
-0.076415,51.537339,TĀTĀ Eatery,,
-0.1225902,51.5212072,MASTER WEI XI'AN CUISINE,,
-0.0916811,51.5057455,BAO Borough,,
-0.11029080000003,51.5028217,Crust Bros,,
-0.139060400000062,51.5128878,Pastaio,,
12.4685444,41.8913875,Dar Poeta,,
12.4715634,41.8958558,Forno Campo de 'Fiori,,
12.467911,41.897487,Supplizio,,
12.4523753,41.8605951,In Fucina,,
12.4742452,41.8945658,Antico Forno Roscioli,,
12.4717456,41.8871466,Supplì Roma,,
12.5037606,41.8987442,Mercato Centrale Roma,,
12.4732728,41.8776046,Mercato Testaccio,,
12.4762145,41.9092503,PizzaRé,,
12.486613,41.871192,Eataly Roma,,
2.3796745,48.8712805,Chez Ramona,,
2.3575559,48.8799036,Restaurant Saravanaa Bhavan,,
2.3517381,48.8473667,Sucrepice,,
2.3285779,48.8956653,Les Cuistots Migrateurs,,
2.351349,48.875117,Nanashi Paradis,,
2.3631895,48.8635451,Nanashi Charlot,,
2.3374318,48.8665817,おむすび権米衛 パリ・パレロワイヤル,,
2.343324,48.8541116,Jixiao's Buns,,
2.3762794,48.8908481,Chamroeun Crimée,,
2.3316953,48.841566,My Noodles,,
2.3469415,48.8740941,Bob De Tunis,,
2.3618422,48.8229062,Ngoc Xuyen Saigon,,
2.3477324,48.8676916,FTG,,
2.3268352,48.8663956,Maisie Café,,
2.3768314,48.8531909,Starvin' Joe,,
2.379091,48.865999,Sürpriz - Berliner Kebab,,
2.3227251,48.8866066,Garni,,
2.3369591,48.8816541,Dumbo,,
