id,lat,long,nom,ville,type,adresse
1020,,,Café Pimpin 17,75017,coffee/pouce/brunch,7 Rue Guy Môquet
1021,,,CADUCÉE Café Contemporain,75017,coffee/pouce/brunch/neobistrot/coeur,19 Rue Brochant
1022,,,WHITE Coffeeshop,75003,coffee,56 Rue de Turenne
1023,,,Matcha Social Club,75001,coffee/glace,39 Rue des Petits Champs
1024,,,Clove Coffee Shop,75018,coffee,14 Rue Chappe
1025,,,The Dancing Goat,75020,coffee,117 Av. Gambetta
1026,,,Café Cayo,75013,coffee/pouce/brunch,9 Rue du Chevaleret
1027,,,Café Caractère,75011,coffee,2 Rue des Taillandiers
1028,,,DEVOTIONS Café,75018,coffee,5 Rue Ramey
1029,,,GRAMME PARIS 11,75011,coffee/pouce/brunch/neobistrot,96 Rue Jean-Pierre Timbaud
1030,,,TOMMASO Café,75003,coffee/patisserie,111 Bd Beaumarchais
1031,,,Mardi,75019,coffee/pouce/brunch/neobistrot,29 Rue de la Villette
1032,,,Noir - Coffee Shop & Torréfacteur,75007,coffee,9 Rue de Luynes
1033,,,Noir - Coffee Shop & Torréfacteur,75008,coffee,120 Bd Haussmann
1034,,,Noir - Coffee Shop & Torréfacteur,75001,coffee,8 Rue Saint-Florentin
1035,,,Noir - Coffee Shop & Torréfacteur,75004,coffee,63 Rue Saint-Louis en l'Île
1036,,,One and a Half,75003,coffee,14 Rue de Bretagne
1037,,,Café Mātēr,75004,neobistrot,9 Rue du Plâtre
1038,,,Saint Pearl,75007,coffee/pouce/brunch,38 Rue des Saints-Pères
1039,,,RECTO VERSO CAFÉ,75003,coffee,6 Rue Portefoin
1040,,,Café Singuliers,75011,coffee/pouce/brunch,2 Rue Titon
1041,,,Inform Café,75017,coffee/pouce/brunch,25 Rue des Acacias
1042,,,Café Nuances,75006,coffee,22 Rue du Vieux Colombier
1043,,,Cafe Content,75011,neobistrot,11 Rue Saint-Maur
1044,,,Billot Club,75017,boucherie/coeur,105 Av. de Saint-Ouen
1045,,,Kaviari Delikatessen - Martyrs,75009,epicerie,56 R. des Martyrs
1046,,,LiMONi,75011,epicerie,20 Rue Saint-Ambroise
1047,,,Fromaville - Laiterie Artisanale et Urbaine,93400,cremerie,10 Rue des Bateliers
1048,,,La Bête Noire,75005,coffee/pouce/brunch/neobistrot,58 Rue Henri Barbusse
1049,,,L'Agrumiste,75007,epicerie,82 Rue de Sèvres
1050,,,MAM,75017,patisserie/neobistrot,22 Rue Fourcroy
1051,,,"Epicerie Fine Ivoirienne ""Au Marché de la Côte d'Ivoire""",75018,epicerie,66 Rue Doudeauville
1052,,,Kaviari Delikatessen - Villiers,75017,epicerie,3 Av. de Villiers
1053,,,Kaviari Delikatessen - St Paul,75004,epicerie,60 Rue François Miron
1054,,,Poissonnerie Viot,75006,poissonerie,"Marché Saint Germain, 4-6 Rue Lobineau"
1055,,,Les Apaches,75020,boucherie,21 Rue des Gâtines
1056,,,Yorgios,75010,epicerie/orient,31 Rue d'Hauteville
1057,,,ONOUL café épicerie fine coréenne,75015,epicerie/asiatique,8 Rue Gramme
1058,,,Kolam Paris,75010,pouce/indien,27 Rue de Lancry
1059,,,Krispy Korean Chicken I Poulet frit coréen,75017,pouce/asiatique,22 Rue Biot
1060,,,Bagels & Brownies,75006,pouce,12 Rue Notre Dame des Champs
1061,,,Le Royal China,75003,pouce/asiatique,85 Rue Beaubourg
1062,,,NOUR Comptoir,75011,pouce/orient,38 Rue Jean-Pierre Timbaud
1063,,,MOSUGO PARIS 14 PAR MORY SACKO,75014,pouce/burger,22 Rue Raymond Losserand
1064,,,BAOBAR,75004,pouce/asiatique,42 Rue Sainte-Croix de la Bretonnerie
1065,,,Zinzin,75009,pouce/orient,5 Rue Jean-Baptiste Pigalle
1066,,,Mantchouk,75017,epicerie/brasserie,106 Bd de Courcelles
1067,,,BING SUTT,75003,coffee/patisserie,22 Rue Béranger
1068,,,Nakatsu,75018,pouce/asiatique/burger,25 Rue Ramey
1069,,,Café Berry,75003,coffee/brunch,10 Rue Chapon
1070,,,y-izakaya,75017,asiatique/pouce,14 Rue des Dames
1071,,,Haikara Deep Fried,75011,asiatique/pouce,60 Bd Voltaire
1072,,,Ramey's Burger,75018,burger/pouce,4 Rue Ramey
1073,,,Project Sausage,75011,pouce,57 Rue du Chemin Vert
1074,,,KUMA - Marais,75004,asiatique/pouce,5 Rue des Ecouffes
1075,,,DISCO BURGERS,75009,burger/pouce,26 Rue de Douai
1076,,,BOB’S BAKE SHOP,75018,brunch/pouce,12 Espl. Nathalie Sarraute
1077,,,KERN,75009,burger/pouce,35 Rue de Châteaudun
1078,,,Mamiche Traiteur,75010,pouce,19 Rue Bouchardon
1079,,,Parisik,75017,asiatique/pouce,37 Rue des Dames
1080,,,Bistrot Des Tournelles,75004,brasserie,6 Rue des Tournelles
1081,,,COMER parís.méxico,75010,neobistrot/latino,96 Rue d'Hauteville
1082,,,Kubri,75011,neobistrot/orient,108 Rue Amelot
1083,,,Kaïto,75006,neobistrot/asiatique,71 Rue de Seine
1084,,,JIN,75001,gastronomique/asiatique,6 Rue de la Sourdière
1085,,,Ojii,75007,gastronomique/asiatique,6 Rue Perronet
1086,,,Le Chardonnay,75002,brasserie,3 Rue Bachaumont
1087,,,GRAIN[S],75006,neobistrot,6 Rue Mabillon
1088,,,Paul Chêne Cherche Midi,75006,brasserie,79 Rue du Cherche-Midi
1089,,,lou paris,75011,neobistrot,18 Rue Saint-Ambroise
1090,,,Le Petit Lutetia,75006,neobistrot,107 Rue de Sèvres
1091,,,Ambos Restaurant,75006,neobistrot,38 Rue de Vaugirard
1092,,,Le 404,75003,orient,69 Rue des Gravilliers
1093,,,Les Naturistes - Restaurant,75018,neobistrot,50 Rue Ramey
1094,,,Le Cyrano,75017,neobistrot/bar,3 Rue Biot
1095,,,Le Paris Seize,75016,brasserie,18 Rue des Belles Feuilles
1096,,,Santa Silvia,75020,neobistrot/italien,22 Villa Riberolle
1097,,,Géosmine,75011,neobistrot,71 Rue de la Folie Méricourt
1098,,,Osteria Brutto,75005,italien,15 Rue Gracieuse
1099,,,Dragon - Cyril Lignac,75006,neobistrot/asiatique,29 Rue du Dragon
1100,,,Vivant 2,75010,neobistrot,43 R. des Petites Écuries
1102,,,Déviant,75010,neobistrot,39 R. des Petites Écuries
1103,,,Arlette Bistro,75011,neobistrot,143 Rue Amelot
1104,,,Restaurant Cèna,75008,neobistrot,23 Rue Treilhard
1105,,,Delhi Bazaar,75011,indien/neobistrot,71 Rue Servan
1106,,,Cloche Paris,75001,brasserie,1 Rue Coq Héron
1107,,,Le Pantruche,75009,brasserie,3 Rue Victor Massé
1108,,,Jinchan shokudo,75012,asiatique,154 Rue du Faubourg Saint-Antoine
1109,,,Les flacons,75005,vins/bar,34 Rue des Écoles
1110,,,HaSalon Paris,93400,orient/neobistrot,106 Rue des Rosiers
1111,,,Brasserie Rosie Lou,75002,brasserie,31 Bd de Bonne Nouvelle
1112,,,Sushi Yoshinaga,75002,asiatique,27 Rue du 4 septembre
1113,,,Brasserie Des Prés,75006,brasserie,6 Cr du Commerce Saint-André
1114,,,Restaurant Pantagruel,75002,neobistrot,24 Rue du Sentier
1115,,,Chicahualco Table latinoe,75017,neobistrot/latino,77 Rue la Condamine
1116,,,Restaurant Vendredi Soir,75010,orient,140 Rue du Faubourg Saint-Martin
1117,,,Le Timgad - Paris,75017,orient,21 Rue Brunel
1118,,,Misu,75015,asiatique,8 bis Rue Falguière
1119,,,Le Bistrot Flaubert,75017,neobistrot,10 Rue Gustave Flaubert
1120,,,Le Truffaut,75017,neobistrot,89 Rue Truffaut
1121,,,iRASSHAi,75001,asiatique/epicerie,40 Rue du Louvre
1122,,,Faubourg Daimant,75010,neobistrot,20 Rue du Faubourg Poissonnière
1123,,,Sapinho,75018,bar/brasserie,85 Rue Lamarck
1124,,,doublevie,75018,neobistrot,2 Rue Poulet
1125,,,Elmer,75003,neobistrot,30 Rue Notre Dame de Nazareth
1126,,,Datil,75003,neobistrot,13 Rue des Gravilliers
1127,,,CHOUKRAN,75009,orient/pouce,29 Rue Saint-Georges
1130,,,Restaurant La Colline,75020,neobistrot,10 Rue Pixérécourt
1131,,,Chez Georges,75002,brasserie,1 Rue du Mail
