numero,Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
691,,,Miznon - 9,75009,France,moyen_orient/sur_le_pouce,,,,3 Rue de la Grange Batelière,"https://static.wixstatic.com/media/2efe32_668c93747918411898100bb360281e86~mv2.jpg/v1/fill/w_640,h_810,al_c,q_85,usm_0.66_1.00_0.01/2efe32_668c93747918411898100bb360281e86~mv2.webp"
692,,,Miznon - 4,75004,France,moyen_orient/sur_le_pouce,,,,22 Rue des Ecouffes,"https://static.wixstatic.com/media/2efe32_668c93747918411898100bb360281e86~mv2.jpg/v1/fill/w_640,h_810,al_c,q_85,usm_0.66_1.00_0.01/2efe32_668c93747918411898100bb360281e86~mv2.webp"
693,,,Miznon - 10,75010,France,moyen_orient/sur_le_pouce,,,,37 Quai de Valmy,"https://static.wixstatic.com/media/2efe32_668c93747918411898100bb360281e86~mv2.jpg/v1/fill/w_640,h_810,al_c,q_85,usm_0.66_1.00_0.01/2efe32_668c93747918411898100bb360281e86~mv2.webp"
694,2.382265,48.865152,GreenHouse,75011,France,neobistrot,,,,22 Rue Crespin du Gast,https://img3.parisbouge.com/KIQwUGWdN1GlvakRYIjco_zRNCxd3ge1B0CK5PuMBQw/rs:fill:1200:800:1/g:ce/wm:1:soea:12:12:0.12/Mzk3ZjU1MmItNGViMS00Mjg1LThiMjItZjQxNGVlNTVkNmY0LmpwZw.jpg
695,2.3562193,48.8743774,Pont Neuf - La Frite Française,75009,France,sur_le_pouce,,,,11 Rue du Faubourg Montmartre,https://img3.parisbouge.com/ZmrmyihGAxSyNvbquflkbFOOK0ZgFw9r2FiXsiD390A/rs:fit:1200:628:1/g:ce/wm:1:soea:12:12:0.12/YTY2ZDdmYjMtMmQ3OC00OTliLThkNWEtOGU2OWVkZjQyOWMyLmpwZw.jpg
696,2.3481264,48.8758798,Nouilles Ceintures,75009,France,asiatique,,,,69 Rue du Faubourg Poissonnière,https://media-cdn.tripadvisor.com/media/photo-s/18/8e/c1/dc/photo0jpg.jpg
697,2.3435979,48.8696583,Mr ZHAO,75002,France,asiatique,,,,37 Rue des Jeuneurs,https://media-cdn.tripadvisor.com/media/photo-s/18/71/d3/40/pates-biangbiang-au-boeuf.jpg
698,2.2956833,48.8802955,Motorino,75017,France,italien,,,,24 Rue Saussier-Leroy,https://media-cdn.tripadvisor.com/media/photo-s/19/78/bd/5e/pizza.jpg
699,2.3784981,48.8570997,Chez Aline,75011,France,sur_le_pouce,,,,85 Rue de la Roquette,https://media-cdn.tripadvisor.com/media/photo-s/0a/ce/f7/63/veal-tongue-with-pickled.jpg
700,2.3325777,48.8659891,EchizenSOBA TOGO,75001,France,asiatique,,,,33 Rue Saint-Roch,https://fastly.4sqi.net/img/general/600x600/54257774_wzJB1MiD53uM0Mb7I_1FHYsiMayfp_1jmIo6Qk-uANE.jpg
701,2.3651245,48.8722937,Siseng,75010,France,asiatique,,,,82 Quai de Jemmapes,https://media-cdn.tripadvisor.com/media/photo-s/12/ea/a8/25/bo-bun.jpg
702,2.3166509,48.8741471,lamée sandwicherie,75008,France,sur_le_pouce,,,,20 bis Rue la Boétie,https://media-cdn.tripadvisor.com/media/photo-s/12/44/d0/a7/houmous-maison-butternut.jpg
703,,,TARTINE The Bakery,San Francisco,USA,boulangerie/patisserie/sur_le_pouce,,,,600 Guerrero St,https://4.bp.blogspot.com/-WF0OW8DJ5b0/XICbzs9ByhI/AAAAAAAAQ4M/YId6a4raIdwPoEJAnnnALvlU63RZZ0uvgCLcBGAs/s1600/tartine-seoul.jpg
704,,,Tartine Manufactory,San Francisco,USA,boulangerie/patisserie/sur_le_pouce/brunch/coffee_shop,,,,595 Alabama St,https://4.bp.blogspot.com/-WF0OW8DJ5b0/XICbzs9ByhI/AAAAAAAAQ4M/YId6a4raIdwPoEJAnnnALvlU63RZZ0uvgCLcBGAs/s1600/tartine-seoul.jpg
705,,,Tartine Inner Sunset SF,San Francisco,USA,boulangerie/patisserie/sur_le_pouce,,,,1226 9th Ave,https://4.bp.blogspot.com/-WF0OW8DJ5b0/XICbzs9ByhI/AAAAAAAAQ4M/YId6a4raIdwPoEJAnnnALvlU63RZZ0uvgCLcBGAs/s1600/tartine-seoul.jpg
706,,,Tartine Santa Monica,Santa Monica,USA,boulangerie/patisserie/sur_le_pouce,,,,1925 Arizona Ave,https://4.bp.blogspot.com/-WF0OW8DJ5b0/XICbzs9ByhI/AAAAAAAAQ4M/YId6a4raIdwPoEJAnnnALvlU63RZZ0uvgCLcBGAs/s1600/tartine-seoul.jpg
