Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
2.3704498,48.8639946,L Osteria Dell Anima,75011,France,italien,,,,37 Rue Oberkampf,https://media-cdn.tripadvisor.com/media/photo-p/15/70/ba/74/photo1jpg.jpg
2.356599,48.8632026,Parcelles,75003,France,neobistrot/brasserie,,,,13 Rue Chapon,https://axwwgrkdco.cloudimg.io/v7/lefooding.com/medias/2021/07/DBF7E536-E4DF-4CCF-8580-65E6AEAD2BF1.jpeg?width=672&height=506&optipress=3
2.3422587,48.8609861,Liquide par Substance,75001,France,neobistrot,,,,39 Rue de l Arbre Sec,"https://media.admagazine.fr/photos/60c76743d3c049eda86e378b/master/w_1000,h_1500,c_limit/substance_liquide_export_8_jpg_7238.jpg"
2.3822722,48.8722886,PALOMA,75020,France,neobistrot/brasserie,,,,93 Rue Julien Lacroix,https://sortir.telerama.fr/sites/tr_master/files/styles/m_plus_640x360/public/assets/images/midi_moins_cher_paloma_photos_diane_arques_adagp_hr20.jpg?itok=SBhpItFS
2.3357942,48.8851127,Sushi Shunei,75018,France,asiatique,,,,3 Rue Audran,https://uploads-ssl.webflow.com/5f66415376b89450919b99a3/5fed87619c74e66c2b638e12_SUSHI_SHUNEI_%C2%A911h45_BD-2.jpg
11.2566966,43.7701295,Vini E Vecchi Sapori,Florence,Italie,italien,,,,Via dei Magazzini  3/r  50122 Firenze FI,https://fromcali.files.wordpress.com/2014/12/vini-e-vecchi-sapori-florence-pappardelle-with-duck-ragu-e1418534869737.jpg
2.3500587,48.8806409,Billili,75010,France,neobistrot,,,,136 Rue du Faubourg Poissonniere,https://media-cdn.tripadvisor.com/media/photo-s/19/20/be/ac/september-2019-dinner.jpg
2.1199224,48.8013233,"Airelles Chateau de Versailles, Le Grand Contrôle",Versailles,France,gastronomique/hotel,,,,12 Rue de l Independance Americaine,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/92/c8/da/airelles-chateau-de-versailles.jpg?w=900&h=-1&s=1
2.3312101,48.8387481,Le Duc,75014,France,brasserie,,,,243 Bd Raspail,"https://res.cloudinary.com/tf-lab/image/upload/w_600,h_337,c_fill,g_auto:subject,q_auto,f_auto/restaurant/ca7c0d8b-1b69-4efc-9037-b75fa65b9c25/716fcf48-6b6d-4e79-9b41-5d2736c4755e.jpg"
2.3966948,48.8580454,Amagat,75020,France,neobistrot,,,,23 Vla Riberolle,https://www.eau-a-la-bouche.fr/wp-content/uploads/2021/09/amagat-restaurant-paris-20-2-scaled.jpg
